Text,Link,Date
In continuation of the Notification No. ... Read More,https://www.aust.edu/notice/1319,Jul 26 2022
lt is hereby notified for information of... Read More,https://www.aust.edu/notice/1317,Jul 25 2022
In continuation of this Notification No.... Read More,https://www.aust.edu/notice/1316,Jul 25 2022
In continuation of this notification no.... Read More,https://www.aust.edu/notice/1312,Jul 20 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1314,Jul 18 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1313,Jul 18 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1311,Jul 17 2022
In continuation offthis notification no.... Read More,https://www.aust.edu/notice/1307,Jul 06 2022
.... Read More,https://www.aust.edu/notice/1304,Jul 05 2022
All the students of MBA & EMBA Programs ... Read More,https://www.aust.edu/notice/1303,Jul 05 2022
In partial rectification of the Notifica... Read More,https://www.aust.edu/notice/1302,Jul 03 2022
.... Read More,https://www.aust.edu/notice/1291,Jun 29 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1285,Jun 27 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1306,Jun 26 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1289,Jun 26 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1288,Jun 26 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1280,Jun 26 2022
In continuation of the Office Order No. ... Read More,https://www.aust.edu/notice/1274,Jun 23 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1273,Jun 22 2022
In continuation of this notification no.... Read More,https://www.aust.edu/notice/1272,Jun 22 2022
It has been observed in last couple of d... Read More,https://www.aust.edu/notice/1269,Jun 21 2022
.... Read More,https://www.aust.edu/notice/1265,Jun 21 2022
In continuation ofthe notification no. A... Read More,https://www.aust.edu/notice/1270,Jun 20 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1271,Jun 16 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1263,Jun 16 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1260,Jun 16 2022
It is hereby notified that the students... Read More,https://www.aust.edu/notice/1258,Jun 12 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1255,Jun 07 2022
As per recommendation of the KFR Library... Read More,https://www.aust.edu/notice/1243,Jun 06 2022
Application in prescribed form (availabl... Read More,https://www.aust.edu/notice/1242,Jun 06 2022
The Department of EEE is looking for a p... Read More,https://www.aust.edu/notice/1241,Jun 02 2022
In continuation of the notification no. ... Read More,https://www.aust.edu/notice/1264,May 31 2022
This is for information of all concerned... Read More,https://www.aust.edu/notice/1239,May 31 2022
AUST has prepared email addresses for al... Read More,https://www.aust.edu/notice/1237,May 26 2022
Sealed bids are invited for disposal of ... Read More,https://www.aust.edu/notice/1234,May 22 2022
নবীন-বরণ ফল সেম... Read More,https://www.aust.edu/notice/1233,May 22 2022
It is hereby notified that the students... Read More,https://www.aust.edu/notice/1528,Dec 08 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1527,Dec 08 2022
This is for information of all concerned... Read More,https://www.aust.edu/notice/1521,Dec 05 2022
It is to notify for information of all c... Read More,https://www.aust.edu/notice/1524,Dec 04 2022
Application in prescribed form (availabl... Read More,https://www.aust.edu/notice/1479,Dec 01 2022
AUST wants to sell one old used white To... Read More,https://www.aust.edu/notice/1477,Nov 29 2022
In continuation of this notification no.... Read More,https://www.aust.edu/notice/1480,Nov 28 2022
This is to notify that all concerned tha... Read More,https://www.aust.edu/notice/1475,Nov 23 2022
This is for information of all concerned... Read More,https://www.aust.edu/notice/1474,Nov 23 2022
Dengue is a viral disease transmitted by... Read More,https://www.aust.edu/notice/1472,Nov 21 2022
.... Read More,https://www.aust.edu/notice/1471,Nov 21 2022
It is hereby notified for the informatio... Read More,https://www.aust.edu/notice/1469,Nov 20 2022
In pursuance of the decision of the 22"d... Read More,https://www.aust.edu/notice/1468,Nov 20 2022
This is for information of all Students... Read More,https://www.aust.edu/notice/1467,Nov 20 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1459,Nov 13 2022
This is for information of all the stude... Read More,https://www.aust.edu/notice/1457,Nov 10 2022
MBA and EMBA students who have not yet c... Read More,https://www.aust.edu/notice/1455,Nov 10 2022
The admission interviews of the applican... Read More,https://www.aust.edu/notice/1452,Nov 08 2022
In pursuance of the decision of the Disc... Read More,https://www.aust.edu/notice/1451,Nov 07 2022
A reception and orientation program for ... Read More,https://www.aust.edu/notice/1450,Nov 07 2022
The newly admitted students of Spring 20... Read More,https://www.aust.edu/notice/1449,Nov 06 2022
The admission interview of the Applicant... Read More,https://www.aust.edu/notice/1448,Nov 05 2022
The MBA/EMBA virtual course advising for... Read More,https://www.aust.edu/notice/1447,Nov 05 2022
All the students of Master’s Program (... Read More,https://www.aust.edu/notice/1444,Oct 31 2022
The following candidates have been selec... Read More,https://www.aust.edu/notice/1443,Oct 31 2022
The following candidates for admission t... Read More,https://www.aust.edu/notice/1430,Oct 26 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1429,Oct 25 2022
The Department of Electrical and Electro... Read More,https://www.aust.edu/notice/1428,Oct 25 2022
In continuation of the notification no. ... Read More,https://www.aust.edu/notice/1427,Oct 24 2022
The Division of Mathematics under the De... Read More,https://www.aust.edu/notice/1426,Oct 24 2022
.... Read More,https://www.aust.edu/notice/1421,Oct 20 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1418,Oct 20 2022
We have received the requests from the f... Read More,https://www.aust.edu/notice/1417,Oct 19 2022
In continuation to this office notificat... Read More,https://www.aust.edu/notice/1422,Oct 18 2022
Students who want to appear at Improveme... Read More,https://www.aust.edu/notice/1415,Oct 17 2022
The Internship /project students of Fall... Read More,https://www.aust.edu/notice/1414,Oct 17 2022
This is for information of all the stude... Read More,https://www.aust.edu/notice/1232,May 22 2022
The students of M.S. in Mathematics prog... Read More,https://www.aust.edu/notice/1231,May 19 2022
