Rank,Team Name,Total Solved,Penalty
1311,AUST_NULL,0,0
1454,Code,0,0
1508,Prohelika,0,0
537,Aust_SomethingElse,1,38
590,C_kages,1,74
684,AUST_OBONIL,1,138
1123,AUST_ZeroCrossing,0,0
1161,Bit_Loaders,0,0
769,AUST_Garbage_Values,1,218
929,Gamb1t,0,0
1006,Hok_Kolorob,0,0
37,AUST_Partisans,5,699
38,AUST_4ZER01,5,719
61,AUST_CrackPlatoon,4,390
132,AUST_Ethereal,3,128
275,AUST_Oblivious,3,524
278,AUST_Durnibar,3,535
292,AUST_DDOS,3,565
299,AUST_SegmentationFault,3,571
378,C-Deque,2,186
431,AUST_D4C,2,323
445,AUST_DEADLOCK,2,358
